Task name,Date,Tags,Repo/PR,Notes
chore: lightweight dockerized spawn + local-ic,"June 30, 2024","Spawn, local-interchain",https://github.com/rollchains/spawn/pull/170,
chore: easily bump local-ic,"June 30, 2024",Spawn,https://github.com/rollchains/spawn/pull/170,
get off wasmd fork via a guard clause ante decorator,"June 29, 2024",wormhole,https://github.com/strangelove-ventures/wormhole/issues/13#issuecomment-2198258109,
"evm: fix types, pre compiles, TM headers, utils, gas meters, iterators, and more types","June 28, 2024",evm,https://github.com/rollchains/cosmos-evm/compare/4a3f1adae74ad6301e7a627c2d6c4358a6a33e9f...8fe7013b33c9e4b70b5e197959f1295e89a75c26,
feat: DNM v0.50 EVM Support Cosmos-SDK fork,"June 28, 2024","CosmosSDK, evm",https://github.com/rollchains/cosmos-sdk/pull/1,
refactor: use ReadFile instead of SingleFileContent,"June 28, 2024","interchain-test, refactor",https://github.com/strangelove-ventures/interchaintest/pull/1161,"minor nit, but prettier"
feat: penumbra ics-20 test cases,"June 28, 2024","Review, interchain-test",https://github.com/strangelove-ventures/interchaintest/pull/1157,
feat: handle coverage from supported binaries,"June 27, 2024",interchain-test,https://github.com/strangelove-ventures/interchaintest/pull/1158,
review: add simulator test wiring,"June 26, 2024","Review, TokenFactory",https://github.com/strangelove-ventures/tokenfactory/pull/12/files,
feat: metadata file on chain creation,"June 26, 2024","ICS, Spawn",https://github.com/rollchains/spawn/pull/164,"When new networks are created, basic metadata should be set for frontends to use / general ease of use at a quick glace. This auto builds an ICS proposal as well in the repo with pre-filled information"
fix: validate user config inputs better,"June 26, 2024",Spawn,https://github.com/rollchains/spawn/pull/163,
refactor: SDK v50-ify EVM impl without forks,"June 24, 2024","Spawn, evm, sei",https://github.com/Reecepbcups/sei-evm/pull/1,
wip: Sei EVM w/ pre compiles to external repo,"June 24, 2024","Spawn, evm, sei",https://github.com/Reecepbcups/sei-evm,
feat(e2e): ethos local-ic testnet integration,"June 24, 2024","ethos, local-interchain",https://github.com/rollchains/spawn/pull/159,
feat: Ethos ETH Restaking Integration,"June 24, 2024","Spawn, ethos",https://github.com/rollchains/spawn/pull/158,"finally past previous issues (nil query router, incorrect bech32), but new integration test issue with IBC trusted validators is causing issues."
feat: outdated version notifier,"June 21, 2024",Spawn,https://github.com/rollchains/spawn/pull/156,
feat(local-ic): add version cmd,"June 21, 2024",local-interchain,https://github.com/strangelove-ventures/interchaintest/pull/1152,
bump v7 versions to latest for the hub,"June 20, 2024","ICQ, PFM",https://github.com/cosmos/ibc-apps/pull/199,"All CI passes, no issues"
FINALLY GOT DEMOCRATIC CONSUMERS TO WORK WOO,"June 19, 2024",Spawn,,https://github.com/rollchains/spawn/pull/150
continuied hacking on ICS democratic consumer,"June 18, 2024","ICS, Spawn",,why does this work with  hermes & not gorly?
final touches to CosmWasm for the hub,"June 18, 2024","CosmWasm, CosmosHub",https://github.com/cosmos/gaia/pull/3051,
debugging with Matija at informal for Hub ICS spawn brussles workshop,"June 18, 2024","CosmosHub, Spawn",https://github.com/rollchains/spawn/pull/154 & https://github.com/rollchains/spawn/pull/153,"mac specific things, then an edge case with too fast of block times for the relayer & gov props"
still working through IBC init bug with new democracy app.,"June 17, 2024",Spawn,,really need to get this over the line has been blocking me for a bit (for Ethos integration)
